file	percent	reads	taxon_id	taxon_name
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	2.694828	2293323	2929573	Philodulcilactobacillus myokoensis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	2.041265	1737135	1720083	Acetilactobacillus jinshanensis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	1.275403	1085379	3082954	Nicoliella lavandulae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	1.147686	976691	562	Escherichia coli
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.827384	704111	2925830	Nicoliella spurrieriana
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.789613	671968	2109645	Lactobacillus sp. Sy-1
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.604949	514817	2419772	Apilactobacillus bombintestini
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.496947	422906	2841032	Apilactobacillus xinyiensis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.458781	390427	2923364	Apilactobacillus apisilvae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.450499	383379	866801	Apilactobacillus ozensis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.446357	379854	1614	Fructilactobacillus fructivorans
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.364727	310386	1262636	Methyloparacoccus murrellii
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.349366	297314	2692917	Lactobacillus sp. S2-2
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.253550	215773	2008377	Apilactobacillus quenuiae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.216865	184554	148814	Apilactobacillus kunkeei
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.211444	179941	176292	Secundilactobacillus malefermentans
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.208000	177010	1899430	Apilactobacillus micheneri
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.189620	161368	931534	Lentilactobacillus senioris
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.178402	151822	2883998	Lentilactobacillus laojiaonis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.177520	151071	179838	Lentilactobacillus diolivorans
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.160164	136301	2773925	Limosilactobacillus sp.
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.158938	135258	53444	Fructilactobacillus lindneri
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.148028	125973	2024736	Levilactobacillus bambusae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.140948	119948	2729622	Lentilactobacillus kribbianus
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.136162	115875	3039492	Lentilactobacillus sp. Marseille-Q4993
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.132263	112557	1249630	Fructilactobacillus vespulae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.126060	107278	390841	Lentilactobacillus farraginis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.122419	104180	2008380	Apilactobacillus timberlakei
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.121694	103563	3422304	Fructilactobacillus sp. Tb1
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.118385	100747	1987503	Lentilactobacillus raoultii
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.116549	99184	1202668	Secundilactobacillus oryzae
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.114284	97257	390842	Lentilactobacillus parafarraginis
results_refseq_nr/6PEH_6/6PEH_6.refseq_nr.kaiju.out	0.109875	93505	1624	Ligilactobacillus salivarius
